NAME                                                    STATUS        AGE
artemis                                                 Active        91d
artemis-namespace                                       Active        91d
broker                                                  Active        131d
broker1                                                 Active        90d
datagrid                                                Active        131d
default                                                 Active        132d
interconnect                                            Active        131d
kafka-app                                               Active        115d
kafka-broker                                            Active        80d
kafka-experiment                                        Active        113d
kafka-manager-test                                      Active        95d
kafka-sriram                                            Active        63d
kafka1                                                  Terminating   90d
kube-node-lease                                         Active        132d
kube-public                                             Active        132d
kube-system                                             Active        132d
local-storage                                           Active        129d
nrevo-test                                              Active        115d
openshift                                               Active        132d
openshift-apiserver                                     Active        132d
openshift-apiserver-operator                            Active        132d
openshift-authentication                                Active        132d
openshift-authentication-operator                       Active        132d
openshift-cloud-credential-operator                     Active        132d
openshift-cluster-machine-approver                      Active        132d
openshift-cluster-node-tuning-operator                  Active        132d
openshift-cluster-samples-operator                      Active        132d
openshift-cluster-storage-operator                      Active        132d
openshift-cluster-version                               Active        132d
openshift-config                                        Active        132d
openshift-config-managed                                Active        132d
openshift-console                                       Active        132d
openshift-console-operator                              Active        132d
openshift-controller-manager                            Active        132d
openshift-controller-manager-operator                   Active        132d
openshift-dns                                           Active        132d
openshift-dns-operator                                  Active        132d
openshift-etcd                                          Active        132d
openshift-image-registry                                Active        132d
openshift-infra                                         Active        132d
openshift-ingress                                       Active        132d
openshift-ingress-operator                              Active        132d
openshift-insights                                      Active        132d
openshift-kni-infra                                     Active        132d
openshift-kube-apiserver                                Active        132d
openshift-kube-apiserver-operator                       Active        132d
openshift-kube-controller-manager                       Active        132d
openshift-kube-controller-manager-operator              Active        132d
openshift-kube-scheduler                                Active        132d
openshift-kube-scheduler-operator                       Active        132d
openshift-machine-api                                   Active        132d
openshift-machine-config-operator                       Active        132d
openshift-marketplace                                   Active        132d
openshift-monitoring                                    Active        132d
openshift-multus                                        Active        132d
openshift-network-operator                              Active        132d
openshift-node                                          Active        132d
openshift-openstack-infra                               Active        132d
openshift-operator-lifecycle-manager                    Active        132d
openshift-operators                                     Active        132d
openshift-sdn                                           Active        132d
openshift-service-ca                                    Active        132d
openshift-service-ca-operator                           Active        132d
openshift-service-catalog-apiserver-operator            Active        132d
openshift-service-catalog-controller-manager-operator   Active        132d
openshift-sriov                                         Active        132d
sriram                                                  Active        63d
streams                                                 Active        131d
