I1002 23:26:49.292029  101540 start.go:44] Version: 0.0.1
I1002 23:26:49.293446  101540 start.go:91] starting node writer
I1002 23:26:49.293466  101540 start.go:95] Starting SriovNetworkConfigDaemon
I1002 23:26:49.293474  101540 daemon.go:87] Run(): start daemon
I1002 23:26:49.293478  101540 daemon.go:465] tryEnableRdma()
I1002 23:26:49.293791  101540 writer.go:34] Run(): start writer
I1002 23:26:49.293814  101540 writer.go:67] pollNicStatus()
I1002 23:26:49.293818  101540 utils.go:35] DiscoverSriovDevices
E1002 23:26:49.306707  101540 daemon.go:472] tryEnableRdma(): fail to enable rdma exit status 1: 
I1002 23:26:49.326714  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:26:49.337639  101540 writer.go:107] setNodeStateStatus(): syncStatus: , lastSyncError: 
I1002 23:26:54.309741  101540 daemon.go:130] nodeStateAddHandler(): New SriovNetworkNodeState Added to Store: worker0.ocp4.kla-tencor.com
I1002 23:26:54.309769  101540 daemon.go:456] registerPlugins(): []
I1002 23:26:54.309775  101540 daemon.go:358] loadVendorPlugins(): try to load plugin generic_plugin
I1002 23:26:54.309785  101540 plugin.go:36] loadPlugin(): load plugin from /plugins/generic_plugin.so
I1002 23:26:54.309838  101540 writer.go:47] Run(): refresh trigger
I1002 23:26:54.309844  101540 writer.go:67] pollNicStatus()
I1002 23:26:54.309847  101540 utils.go:35] DiscoverSriovDevices
I1002 23:26:54.328274  101540 generic_plugin.go:55] generic-plugin OnNodeStateAdd()
I1002 23:26:54.328332  101540 daemon.go:155] nodeStateAddHandler(): reqDrain false, reqReboot false
I1002 23:26:54.340852  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:26:54.346806  101540 writer.go:107] setNodeStateStatus(): syncStatus: InProgress, lastSyncError: 
I1002 23:26:54.346820  101540 writer.go:47] Run(): refresh trigger
I1002 23:26:54.346823  101540 writer.go:67] pollNicStatus()
I1002 23:26:54.346826  101540 utils.go:35] DiscoverSriovDevices
I1002 23:26:54.347503  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:26:54.372057  101540 utils.go:262] getNetdevMTU(): get MTU for device 0000:00:03.0
I1002 23:26:54.378332  101540 writer.go:107] setNodeStateStatus(): syncStatus: Succeeded, lastSyncError: 
I1002 23:26:54.378390  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
I1002 23:27:24.309941  101540 daemon.go:241] nodeStateChangeHandler(): Interface not changed
